ID STG_R
01 0.525
03 0.44999999999999996
04 0.4583333333333333
05 0.5666666666666665
06 0.4666666666666666
07 0.5666666666666668
08 0.5416666666666666
09 0.525
10 0.4666666666666666
11 0.4083333333333334
12 0.44166666666666665
13 0.44166666666666665
14 0.5499999999999999
15 0.5333333333333333
16 0.5083333333333333
17 0.45
18 0.525
19 0.5666666666666668
20 0.525
21 0.525
22 0.5333333333333333
23 0.5750000000000001
24 0.45
25 0.45
26 0.5166666666666666
27 0.45
28 0.5333333333333333
29 0.55
30 0.5416666666666666
