ID   trial   item_condition   run   bin   phase   CS_ID   CS_SIDE   CS_ALL   congr_ID   congr_SIDE   CS_pupil   CS_DW_L   CS_DW_R   CS_DW_congr   ANT_DW_L   ANT_DW_R   ANT_DW_congr   US_RT   US_ACC
01   1   1   01   bin01    acquisition    deval    CSpL   deval_L   congr   congr   3.819410e-01   0   0   0   0   0   0   -2.058511e-01   1
01   2   2   01   bin01    acquisition    deval    CSpR   deval_R   congr   congr   -1.494018e-01   0   0   0   0   0   0   -1.124415e-01   1
01   3   3   01   bin01    acquisition    deval    CSpR   deval_R   congr   congr   -2.656452e-02   0   0   0   0   4.060606e-01   4.060606e-01   -1.142065e-02   1
01   4   1   01   bin01    acquisition    CSmi    CSmi   CSmi   congr   congr   -4.792443e-01   0   0   0   0   0   0   NaN   1
01   5   1   01   bin01    acquisition    val    CSpL   val_L   congr   congr   -1.471744e-01   0   0   0   0   0   0   -1.542847e-01   1
01   6   2   01   bin01    acquisition    CSmi    CSmi   CSmi   congr   congr   -6.060482e-02   0   0   0   0   9.580838e-02   4.790419e-02   NaN   1
01   7   2   01   bin01    acquisition    val    CSpR   val_R   congr   congr   1.593417e-01   0   0   0   0   2.774566e-01   2.774566e-01   -5.572639e-02   1
01   8   3   01   bin01    acquisition    val    CSpR   val_R   congr   congr   2.147167e-02   0   3.209302e-01   3.209302e-01   0   3.081395e-01   3.081395e-01   -3.248554e-01   1
01   9   3   01   bin01    acquisition    CSmi    CSmi   CSmi   congr   congr   -9.536635e-02   0   0   0   0   1.790123e-01   8.950617e-02   NaN   1
01   10   4   01   bin01    acquisition    CSmi    CSmi   CSmi   congr   congr   -8.418255e-02   0   0   0   0   0   0   NaN   1
01   11   4   01   bin01    acquisition    val    CSpR   val_R   congr   incongr   -1.568621e-02   0   0   0   0   7.558140e-02   7.558140e-02   -2.079187e-01   1
01   12   5   01   bin01    acquisition    CSmi    CSmi   CSmi   congr   congr   2.139585e-01   0   0   0   1.309524e-01   0   6.547619e-02   NaN   1
01   13   5   01   bin01    acquisition    val    CSpR   val_R   congr   congr   1.874795e-01   0   0   0   0   0   0   -1.115425e-01   1
01   14   6   01   bin01    acquisition    val    CSpL   val_L   congr   incongr   1.539533e-03   0   0   0   0   0   0   -1.274837e-01   1
01   15   4   01   bin01    acquisition    deval    CSpL   deval_L   congr   congr   4.130697e-01   0   0   0   6.481481e-01   0   6.481481e-01   -5.101670e-02   1
01   16   5   01   bin01    acquisition    deval    CSpL   deval_L   congr   congr   3.232849e-01   0   0   0   0   0   0   -1.408105e-01   1
01   17   6   01   bin01    acquisition    CSmi    CSmi   CSmi   incongr   incongr   -1.171188e-01   0   0   0   0   0   0   1.481900e-01   1
01   18   7   01   bin01    acquisition    val    CSpL   val_L   incongr   congr   6.709942e-02   0   0   0   0   0   0   -4.246889e-02   1
01   19   6   01   bin01    acquisition    deval    CSpL   deval_L   congr   congr   3.278349e-01   0   0   0   5.307263e-01   0   5.307263e-01   -1.367745e-01   1
01   20   7   01   bin01    acquisition    CSmi    CSmi   CSmi   congr   congr   -2.815032e-01   0   0   0   0   0   0   NaN   1
01   21   7   01   bin01    acquisition    deval    CSpR   deval_R   congr   congr   -9.446504e-02   0   3.138075e-01   3.138075e-01   0   8.770950e-01   8.770950e-01   -2.478496e-01   1
01   22   8   01   bin01    acquisition    deval    CSpL   deval_L   incongr   incongr   1.182188e-01   0   0   0   8.315217e-01   0   8.315217e-01   NaN   1
01   23   8   01   bin01    acquisition    CSmi    CSmi   CSmi   congr   congr   -1.636113e-01   0   0   0   0   0   0   NaN   1
01   24   9   01   bin01    acquisition    deval    CSpR   deval_R   incongr   incongr   -3.659970e-02   0   0   0   0   2.328767e-01   2.328767e-01   NaN   1
01   25   10   01   bin01    acquisition    deval    CSpL   deval_L   incongr   congr   3.550654e-02   0   0   0   5.952381e-01   0   5.952381e-01   -1.253436e-01   1
01   26   9   01   bin01    acquisition    CSmi    CSmi   CSmi   congr   congr   -3.281371e-01   0   0   0   0   0   0   NaN   1
01   27   10   01   bin01    acquisition    CSmi    CSmi   CSmi   congr   congr   -1.240613e-01   0   0   0   0   0   0   NaN   1
01   28   11   01   bin02    acquisition    deval    CSpR   deval_R   congr   congr   5.435778e-01   0   3.906810e-01   3.906810e-01   0   8.914286e-01   8.914286e-01   -2.686980e-02   1
01   29   11   01   bin02    acquisition    CSmi    CSmi   CSmi   congr   congr   -4.682496e-01   0   0   0   0   0   0   NaN   1
01   30   12   01   bin02    acquisition    deval    CSpL   deval_L   congr   incongr   -3.315096e-01   8.783784e-02   0   8.783784e-02   7.978142e-01   0   7.978142e-01   4.717234e-01   1
