ID   run   CS_ID   CS_SIDE   CS_ALL   ratings 
01   01   val   CSpL   val_L  7.457627e+01
01   01   val   CSpR   val_R  6.949153e+01
01   01   deval   CSpR   deval_R  7.372881e+01
01   01   deval   CSpL   deval_L  7.711864e+01
01   01   CSmi   CSmi   CSmi  2.033898e+01
01   02   deval   CSpL   deval_L  7.118644e+01
01   02   CSmi   CSmi   CSmi  1.949153e+01
01   02   deval   CSpR   deval_R  6.525424e+01
01   02   val   CSpR   val_R  7.203390e+01
01   02   val   CSpL   val_L  7.033898e+01
01   03   deval   CSpR   deval_R  6.355932e+01
01   03   val   CSpR   val_R  6.440678e+01
01   03   deval   CSpL   deval_L  6.440678e+01
01   03   val   CSpL   val_L  6.779661e+01
01   03   CSmi   CSmi   CSmi  2.627119e+01
03   01   val   CSpL   val_L  8.220339e+01
03   01   val   CSpR   val_R  6.694915e+01
03   01   deval   CSpR   deval_R  5.762712e+01
03   01   deval   CSpL   deval_L  3.474576e+01
03   01   CSmi   CSmi   CSmi  5.677966e+01
03   02   deval   CSpL   deval_L  4.067797e+01
03   02   CSmi   CSmi   CSmi  6.186441e+01
03   02   deval   CSpR   deval_R  6.525424e+01
03   02   val   CSpR   val_R  5.847458e+01
03   02   val   CSpL   val_L  7.288136e+01
03   03   deval   CSpR   deval_R  50
03   03   val   CSpR   val_R  7.203390e+01
03   03   deval   CSpL   deval_L  3.389831e+01
03   03   val   CSpL   val_L  6.864407e+01
03   03   CSmi   CSmi   CSmi  50
04   01   val   CSpR   val_R  7.627119e+01
04   01   val   CSpL   val_L  3.813559e+01
04   01   deval   CSpL   deval_L  5.932203e+01
04   01   CSmi   CSmi   CSmi  3.813559e+01
04   01   deval   CSpR   deval_R  50
04   02   val   CSpR   val_R  9.152542e+01
04   02   val   CSpL   val_L  3.898305e+01
04   02   deval   CSpR   deval_R  8.050847e+01
04   02   CSmi   CSmi   CSmi  4.152542e+01
04   02   deval   CSpL   deval_L  8.898305e+01
04   03   val   CSpL   val_L  3.474576e+01
04   03   val   CSpR   val_R  9.152542e+01
04   03   CSmi   CSmi   CSmi  4.067797e+01
04   03   deval   CSpR   deval_R  50
04   03   deval   CSpL   deval_L  8.898305e+01
05   01   CSmi   CSmi   CSmi  7.966102e+01
05   01   deval   CSpL   deval_L  4.406780e+01
05   01   val   CSpR   val_R  6.271186e+01
05   01   deval   CSpR   deval_R  50
05   01   val   CSpL   val_L  6.355932e+01
05   02   deval   CSpR   deval_R  4.745763e+01
05   02   val   CSpR   val_R  6.186441e+01
05   02   deval   CSpL   deval_L  4.067797e+01
05   02   CSmi   CSmi   CSmi  6.440678e+01
05   02   val   CSpL   val_L  7.542373e+01
05   03   deval   CSpL   deval_L  3.898305e+01
05   03   val   CSpR   val_R  5.677966e+01
05   03   CSmi   CSmi   CSmi  7.372881e+01
05   03   val   CSpL   val_L  7.033898e+01
05   03   deval   CSpR   deval_R  4.237288e+01
06   01   deval   CSpL   deval_L  6.694915e+01
06   01   deval   CSpR   deval_R  6.186441e+01
06   01   val   CSpR   val_R  3.898305e+01
06   01   val   CSpL   val_L  6.610169e+01
06   01   CSmi   CSmi   CSmi  6.355932e+01
06   02   val   CSpL   val_L  8.389831e+01
06   02   CSmi   CSmi   CSmi  8.559322e+01
06   02   val   CSpR   val_R  8.644068e+01
06   02   deval   CSpR   deval_R  8.644068e+01
06   02   deval   CSpL   deval_L  8.644068e+01
06   03   val   CSpR   val_R  8.898305e+01
06   03   deval   CSpR   deval_R  9.152542e+01
06   03   val   CSpL   val_L  9.152542e+01
06   03   deval   CSpL   deval_L  9.152542e+01
06   03   CSmi   CSmi   CSmi  9.152542e+01
07   01   CSmi   CSmi   CSmi  1.779661e+01
07   01   val   CSpL   val_L  6.864407e+01
07   01   val   CSpR   val_R  7.118644e+01
07   01   deval   CSpL   deval_L  8.220339e+01
07   01   deval   CSpR   deval_R  8.135593e+01
07   02   deval   CSpL   deval_L  7.288136e+01
07   02   CSmi   CSmi   CSmi  3.305085e+01
07   02   deval   CSpR   deval_R  6.610169e+01
07   02   val   CSpR   val_R  6.949153e+01
07   02   val   CSpL   val_L  7.288136e+01
07   03   val   CSpL   val_L  7.542373e+01
07   03   CSmi   CSmi   CSmi  3.135593e+01
07   03   val   CSpR   val_R  8.559322e+01
07   03   deval   CSpR   deval_R  7.033898e+01
07   03   deval   CSpL   deval_L  6.779661e+01
08   01   CSmi   CSmi   CSmi  3.135593e+01
08   01   deval   CSpL   deval_L  6.271186e+01
08   01   deval   CSpR   deval_R  1.949153e+01
08   01   val   CSpL   val_L  7.542373e+01
08   01   val   CSpR   val_R  8.559322e+01
08   02   val   CSpL   val_L  50
08   02   CSmi   CSmi   CSmi  6.779661e+01
08   02   val   CSpR   val_R  7.711864e+01
08   02   deval   CSpR   deval_R  2.711864e+01
08   02   deval   CSpL   deval_L  8.474576e+01
08   03   deval   CSpL   deval_L  7.203390e+01
08   03   CSmi   CSmi   CSmi  8.728814e+01
08   03   deval   CSpR   deval_R  5.677966e+01
08   03   val   CSpR   val_R  4.152542e+01
08   03   val   CSpL   val_L  2.966102e+01
09   01   val   CSpL   val_L  6.949153e+01
09   01   val   CSpR   val_R  5.254237e+01
09   01   deval   CSpR   deval_R  50
09   01   deval   CSpL   deval_L  6.440678e+01
09   01   CSmi   CSmi   CSmi  50
09   02   deval   CSpL   deval_L  6.694915e+01
09   02   CSmi   CSmi   CSmi  2.457627e+01
09   02   deval   CSpR   deval_R  6.355932e+01
09   02   val   CSpR   val_R  6.525424e+01
09   02   val   CSpL   val_L  7.118644e+01
09   03   deval   CSpR   deval_R  4.915254e+01
09   03   val   CSpR   val_R  3.050847e+01
09   03   deval   CSpL   deval_L  50
09   03   val   CSpL   val_L  6.864407e+01
09   03   CSmi   CSmi   CSmi  1.694915e+01
10   01   deval   CSpL   deval_L  50
10   01   deval   CSpR   deval_R  50
10   01   val   CSpR   val_R  50
10   01   val   CSpL   val_L  50
10   01   CSmi   CSmi   CSmi  50
10   02   val   CSpL   val_L  5.508475e+01
10   02   CSmi   CSmi   CSmi  50
10   02   val   CSpR   val_R  50
10   02   deval   CSpR   deval_R  50
10   02   deval   CSpL   deval_L  50
10   03   val   CSpR   val_R  4.915254e+01
10   03   deval   CSpR   deval_R  50
10   03   val   CSpL   val_L  50
10   03   deval   CSpL   deval_L  50
10   03   CSmi   CSmi   CSmi  50
11   01   val   CSpL   val_L  3.813559e+01
11   01   val   CSpR   val_R  2.288136e+01
11   01   deval   CSpR   deval_R  7.711864e+01
11   01   deval   CSpL   deval_L  5.593220e+01
11   01   CSmi   CSmi   CSmi  3.898305e+01
11   02   deval   CSpL   deval_L  9.152542e+01
11   02   CSmi   CSmi   CSmi  8.474576e+00
11   02   deval   CSpR   deval_R  7.966102e+01
11   02   val   CSpR   val_R  6.186441e+01
11   02   val   CSpL   val_L  5.084746e+01
11   03   deval   CSpR   deval_R  3.728814e+01
11   03   val   CSpR   val_R  4.237288e+01
11   03   deval   CSpL   deval_L  7.711864e+01
11   03   val   CSpL   val_L  6.694915e+01
11   03   CSmi   CSmi   CSmi  3.983051e+01
12   01   deval   CSpL   deval_L  4.406780e+01
12   01   deval   CSpR   deval_R  6.694915e+01
12   01   val   CSpR   val_R  3.728814e+01
12   01   val   CSpL   val_L  3.813559e+01
12   01   CSmi   CSmi   CSmi  5.762712e+01
12   02   val   CSpL   val_L  2.711864e+01
12   02   CSmi   CSmi   CSmi  6.016949e+01
12   02   val   CSpR   val_R  6.271186e+01
12   02   deval   CSpR   deval_R  6.949153e+01
12   02   deval   CSpL   deval_L  4.491525e+01
12   03   val   CSpR   val_R  4.745763e+01
12   03   deval   CSpR   deval_R  7.033898e+01
12   03   val   CSpL   val_L  4.152542e+01
12   03   deval   CSpL   deval_L  5.932203e+01
12   03   CSmi   CSmi   CSmi  5.762712e+01
13   01   deval   CSpR   deval_R  3.220339e+01
13   01   deval   CSpL   deval_L  5.762712e+01
13   01   CSmi   CSmi   CSmi  7.457627e+01
13   01   val   CSpL   val_L  5.677966e+01
13   01   val   CSpR   val_R  6.864407e+01
13   02   deval   CSpL   deval_L  6.271186e+01
13   02   CSmi   CSmi   CSmi  7.966102e+01
13   02   val   CSpR   val_R  5.762712e+01
13   02   deval   CSpR   deval_R  2.711864e+01
13   02   val   CSpL   val_L  4.152542e+01
13   03   val   CSpL   val_L  1.864407e+01
13   03   val   CSpR   val_R  6.440678e+01
13   03   deval   CSpL   deval_L  6.440678e+01
13   03   deval   CSpR   deval_R  2.457627e+01
13   03   CSmi   CSmi   CSmi  7.966102e+01
14   01   deval   CSpL   deval_L  3.305085e+01
14   01   deval   CSpR   deval_R  50
14   01   val   CSpR   val_R  50
14   01   val   CSpL   val_L  6.440678e+01
14   01   CSmi   CSmi   CSmi  3.389831e+01
14   02   val   CSpL   val_L  5.254237e+01
14   02   CSmi   CSmi   CSmi  4.322034e+01
14   02   val   CSpR   val_R  3.305085e+01
14   02   deval   CSpR   deval_R  6.440678e+01
14   02   deval   CSpL   deval_L  4.237288e+01
14   03   val   CSpR   val_R  2.203390e+01
14   03   deval   CSpR   deval_R  3.644068e+01
14   03   val   CSpL   val_L  4.491525e+01
14   03   deval   CSpL   deval_L  5.508475e+01
14   03   CSmi   CSmi   CSmi  4.406780e+01
15   01   val   CSpL   val_L  5.762712e+01
15   01   val   CSpR   val_R  5.338983e+01
15   01   deval   CSpR   deval_R  6.016949e+01
15   01   deval   CSpL   deval_L  4.237288e+01
15   01   CSmi   CSmi   CSmi  4.152542e+01
15   02   deval   CSpL   deval_L  6.440678e+01
15   02   CSmi   CSmi   CSmi  3.813559e+01
15   02   deval   CSpR   deval_R  50
15   02   val   CSpR   val_R  3.728814e+01
