"","ID","run","US_ID","US_value","outcome_liking"
"3",1,"Pre devaluation","sweet","deval",9
"4",1,"Pre devaluation","salty","val",10
"5",1,"Post devaluation","sweet","deval",5
"6",1,"Post devaluation","salty","val",8
"9",3,"Pre devaluation","sweet","deval",8
"10",3,"Pre devaluation","salty","val",7
"11",3,"Post devaluation","sweet","deval",7
"12",3,"Post devaluation","salty","val",7
"15",4,"Pre devaluation","sweet","val",8
"16",4,"Pre devaluation","salty","deval",8
"17",4,"Post devaluation","sweet","val",8
"18",4,"Post devaluation","salty","deval",5
"21",5,"Pre devaluation","sweet","deval",8
"22",5,"Pre devaluation","salty","val",7
"23",5,"Post devaluation","sweet","deval",4
"24",5,"Post devaluation","salty","val",7
"27",6,"Pre devaluation","sweet","val",10
"28",6,"Pre devaluation","salty","deval",10
"29",6,"Post devaluation","sweet","val",10
"30",6,"Post devaluation","salty","deval",9
"33",7,"Pre devaluation","sweet","deval",9
"34",7,"Pre devaluation","salty","val",8
"35",7,"Post devaluation","sweet","deval",7
"36",7,"Post devaluation","salty","val",8
"39",8,"Pre devaluation","sweet","val",8
"40",8,"Pre devaluation","salty","deval",9
"41",8,"Post devaluation","sweet","val",5
"42",8,"Post devaluation","salty","deval",6
"45",9,"Pre devaluation","sweet","deval",6
"46",9,"Pre devaluation","salty","val",9
"47",9,"Post devaluation","sweet","deval",3
"48",9,"Post devaluation","salty","val",5
"51",10,"Pre devaluation","sweet","val",8
"52",10,"Pre devaluation","salty","deval",7
"53",10,"Post devaluation","sweet","val",8
"54",10,"Post devaluation","salty","deval",6
"57",11,"Pre devaluation","sweet","deval",8
"58",11,"Pre devaluation","salty","val",7
"59",11,"Post devaluation","sweet","deval",2
"60",11,"Post devaluation","salty","val",9
"63",12,"Pre devaluation","sweet","val",8
"64",12,"Pre devaluation","salty","deval",8
"65",12,"Post devaluation","sweet","val",8
"66",12,"Post devaluation","salty","deval",5
"69",13,"Pre devaluation","sweet","deval",10
"70",13,"Pre devaluation","salty","val",9
"71",13,"Post devaluation","sweet","deval",7
"72",13,"Post devaluation","salty","val",8
"75",14,"Pre devaluation","sweet","val",6
"76",14,"Pre devaluation","salty","deval",6
"77",14,"Post devaluation","sweet","val",5
"78",14,"Post devaluation","salty","deval",4
"81",15,"Pre devaluation","sweet","deval",8
"82",15,"Pre devaluation","salty","val",7
"83",15,"Post devaluation","sweet","deval",5
"84",15,"Post devaluation","salty","val",7
"87",16,"Pre devaluation","sweet","val",7
"88",16,"Pre devaluation","salty","deval",6
"89",16,"Post devaluation","sweet","val",5
"90",16,"Post devaluation","salty","deval",4
"93",17,"Pre devaluation","sweet","deval",8
"94",17,"Pre devaluation","salty","val",8
"95",17,"Post devaluation","sweet","deval",6
"96",17,"Post devaluation","salty","val",7
"99",18,"Pre devaluation","sweet","val",8
"100",18,"Pre devaluation","salty","deval",8
"101",18,"Post devaluation","sweet","val",10
"102",18,"Post devaluation","salty","deval",4
"105",19,"Pre devaluation","sweet","deval",9
"106",19,"Pre devaluation","salty","val",10
"107",19,"Post devaluation","sweet","deval",3
"108",19,"Post devaluation","salty","val",7
"111",20,"Pre devaluation","sweet","val",9
"112",20,"Pre devaluation","salty","deval",9
"113",20,"Post devaluation","sweet","val",5
"114",20,"Post devaluation","salty","deval",5
"117",21,"Pre devaluation","sweet","val",8
"118",21,"Pre devaluation","salty","deval",9
"119",21,"Post devaluation","sweet","val",8
"120",21,"Post devaluation","salty","deval",7
"123",22,"Pre devaluation","sweet","deval",10
"124",22,"Pre devaluation","salty","val",9
"125",22,"Post devaluation","sweet","deval",10
"126",22,"Post devaluation","salty","val",8
"129",23,"Pre devaluation","sweet","deval",8
"130",23,"Pre devaluation","salty","val",9
"131",23,"Post devaluation","sweet","deval",5
"132",23,"Post devaluation","salty","val",10
"135",24,"Pre devaluation","sweet","val",8
"136",24,"Pre devaluation","salty","deval",4
"137",24,"Post devaluation","sweet","val",6
"138",24,"Post devaluation","salty","deval",6
"141",25,"Pre devaluation","sweet","deval",8
"142",25,"Pre devaluation","salty","val",7
"143",25,"Post devaluation","sweet","deval",5
"144",25,"Post devaluation","salty","val",7
"147",26,"Pre devaluation","sweet","val",7
"148",26,"Pre devaluation","salty","deval",9
"149",26,"Post devaluation","sweet","val",8
"150",26,"Post devaluation","salty","deval",2
"153",27,"Pre devaluation","sweet","deval",8
"154",27,"Pre devaluation","salty","val",8
"155",27,"Post devaluation","sweet","deval",4
"156",27,"Post devaluation","salty","val",6
"159",28,"Pre devaluation","sweet","val",8
"160",28,"Pre devaluation","salty","deval",9
"161",28,"Post devaluation","sweet","val",8
"162",28,"Post devaluation","salty","deval",3
"165",29,"Pre devaluation","sweet","deval",10
"166",29,"Pre devaluation","salty","val",9
"167",29,"Post devaluation","sweet","deval",5
"168",29,"Post devaluation","salty","val",10
"171",30,"Pre devaluation","sweet","val",9
"172",30,"Pre devaluation","salty","deval",10
"173",30,"Post devaluation","sweet","val",10
"174",30,"Post devaluation","salty","deval",4
