"","ID","roi","feature","diff_betas"
"1","1","vmPFC","RPE",1.55051430506366
"3","1","VS","RPE",0.788489470520699
"5","1","midbrain","RPE",0.18630228332467
"7","3","vmPFC","RPE",-0.40014535199318
"9","3","VS","RPE",0.1753024201263
"11","3","midbrain","RPE",0.59941671308792
"13","4","vmPFC","RPE",1.16480402323816
"15","4","VS","RPE",0.671494746882416
"17","4","midbrain","RPE",1.17470738576525
"19","5","vmPFC","RPE",0.641876774015176
"21","5","VS","RPE",1.13626295915792
"23","5","midbrain","RPE",-0.152006550784385
"25","6","vmPFC","RPE",-0.482579905220441
"27","6","VS","RPE",-0.0951222255957168
"29","6","midbrain","RPE",-0.406879877733175
"31","7","vmPFC","RPE",-0.89115325084755
"33","7","VS","RPE",-1.17670543735821
"35","7","midbrain","RPE",-0.070661340132048
"37","8","vmPFC","RPE",2.60086086347167
"39","8","VS","RPE",0.81450635761442
"41","8","midbrain","RPE",1.07856620287846
"43","9","vmPFC","RPE",-1.27605188260121
"45","9","VS","RPE",-0.704338150361264
"47","9","midbrain","RPE",-1.0935894999199
"49","10","vmPFC","RPE",-0.748714675754308
"51","10","VS","RPE",0.482802313791824
"53","10","midbrain","RPE",0.3896656384199
"55","11","vmPFC","RPE",-0.63161582159145
"57","11","VS","RPE",0.387071221017501
"59","11","midbrain","RPE",0.024602191630474
"61","12","vmPFC","RPE",0.196391592693648
"63","12","VS","RPE",0.785742688399389
"65","12","midbrain","RPE",-0.094371124932712
"67","13","vmPFC","RPE",1.42271853956793
"69","13","VS","RPE",1.1566707468526
"71","13","midbrain","RPE",0.483414963603573
"73","14","vmPFC","RPE",0.295924181065389
"75","14","VS","RPE",0.612693869862968
"77","14","midbrain","RPE",0.143811215577293
"79","15","vmPFC","RPE",1.17573027706572
"81","15","VS","RPE",0.680733946873479
"83","15","midbrain","RPE",0.352300515937165
"85","16","vmPFC","RPE",3.78393136699284
"87","16","VS","RPE",0.56930551599239
"89","16","midbrain","RPE",0.99173420717678
"91","17","vmPFC","RPE",0.52149865190898
"93","17","VS","RPE",-0.941022001915204
"95","17","midbrain","RPE",-0.705649926835163
"97","18","vmPFC","RPE",0.535572784473854
"99","18","VS","RPE",-0.308252778507665
"101","18","midbrain","RPE",-0.378356223579588
"103","19","vmPFC","RPE",1.05714025625161
"105","19","VS","RPE",1.3788568533852
"107","19","midbrain","RPE",0.12892241508138
"109","20","vmPFC","RPE",-0.424992792467986
"111","20","VS","RPE",0.132827500642185
"113","20","midbrain","RPE",0.587124628022559
"115","21","vmPFC","RPE",2.3791298395821
"117","21","VS","RPE",1.19808249726472
"119","21","midbrain","RPE",0.163989107717167
"121","22","vmPFC","RPE",-3.3531186803111
"123","22","VS","RPE",0.269344326574355
"125","22","midbrain","RPE",0.459253245791466
"127","23","vmPFC","RPE",1.35040562104966
"129","23","VS","RPE",-0.054762169895825
"131","23","midbrain","RPE",-0.25582700288923
"133","24","vmPFC","RPE",0.99947857909968
"135","24","VS","RPE",-0.127898903111075
"137","24","midbrain","RPE",0.696976618264025
"139","25","vmPFC","RPE",-0.783669196388548
"141","25","VS","RPE",-0.224563090314328
"143","25","midbrain","RPE",-0.578433017908357
"145","26","vmPFC","RPE",0.648111166272844
"147","26","VS","RPE",-0.189026709239352
"149","26","midbrain","RPE",0.223868101188713
"151","27","vmPFC","RPE",-0.279681965016893
"153","27","VS","RPE",0.552453721571766
"155","27","midbrain","RPE",-1.25608807625942
"157","28","vmPFC","RPE",2.16521974142108
"159","28","VS","RPE",0.299980822543968
"161","28","midbrain","RPE",-0.0781458298414017
"163","29","vmPFC","RPE",0.870833867575441
"165","29","VS","RPE",0.369546323385037
"167","29","midbrain","RPE",-0.50096116632354
"169","30","vmPFC","RPE",-3.01043868980237
"171","30","VS","RPE",0.00610297653351904
"173","30","midbrain","RPE",0.0618031235827401
