"","ID","roi","feature","diff_betas"
"1","1","MFG","SPE",0.364167235716425
"4","1","OFC","SPE",0.816461498905457
"7","1","SFG","SPE",-0.72131925290968
"9","1","midbrain","SPE",-0.022845493585748
"11","3","MFG","SPE",0.98526946661448
"14","3","OFC","SPE",0.011248272767148
"17","3","SFG","SPE",-0.92597094218298
"19","3","midbrain","SPE",0.46713728185962
"21","4","MFG","SPE",1.82205019285432
"24","4","OFC","SPE",1.39124702151724
"27","4","SFG","SPE",3.78746563152203
"29","4","midbrain","SPE",1.09643697197385
"31","5","MFG","SPE",0.49446878026832
"34","5","OFC","SPE",-0.35064383175754
"37","5","SFG","SPE",-0.510157403878919
"39","5","midbrain","SPE",0.021398644927232
"41","6","MFG","SPE",-0.85944148175644
"44","6","OFC","SPE",0.276421427566307
"47","6","SFG","SPE",-1.49541764815028
"49","6","midbrain","SPE",-0.210521363669678
"51","7","MFG","SPE",0.88225928097211
"54","7","OFC","SPE",3.31418097177604
"57","7","SFG","SPE",3.01929710091402
"59","7","midbrain","SPE",0.049533320820945
"61","8","MFG","SPE",3.1536832326327
"64","8","OFC","SPE",1.35306936459979
"67","8","SFG","SPE",3.43876708728365
"69","8","midbrain","SPE",0.908039505670176
"71","9","MFG","SPE",-1.93652103509415
"74","9","OFC","SPE",-0.832938561979737
"77","9","SFG","SPE",-2.9115122611531
"79","9","midbrain","SPE",-0.835670933127404
"81","10","MFG","SPE",-0.317081980934046
"84","10","OFC","SPE",-0.239013475600259
"87","10","SFG","SPE",0.178769963327795
"89","10","midbrain","SPE",0.041619653342401
"91","11","MFG","SPE",-2.59296723599687
"94","11","OFC","SPE",-2.85140303118788
"97","11","SFG","SPE",-2.31923398184072
"99","11","midbrain","SPE",-0.0324243208229101
"101","12","MFG","SPE",-0.0944495682915001
"104","12","OFC","SPE",-2.3157681693849
"107","12","SFG","SPE",-1.97960147985981
"109","12","midbrain","SPE",-0.03381963760099
"111","13","MFG","SPE",1.17882913513617
"114","13","OFC","SPE",-0.113679024008559
"117","13","SFG","SPE",0.515229042981648
"119","13","midbrain","SPE",0.614489559741581
"121","14","MFG","SPE",2.10060239214112
"124","14","OFC","SPE",0.264668607402771
"127","14","SFG","SPE",0.300380912053191
"129","14","midbrain","SPE",0.054578166071545
"131","15","MFG","SPE",-0.530506624883474
"134","15","OFC","SPE",1.49917416379304
"137","15","SFG","SPE",1.79087465125809
"139","15","midbrain","SPE",0.301833938719595
"141","16","MFG","SPE",5.33917657516219
"144","16","OFC","SPE",3.55540952466868
"147","16","SFG","SPE",5.8115993666773
"149","16","midbrain","SPE",0.979378586919869
"151","17","MFG","SPE",1.60407957391004
"154","17","OFC","SPE",-0.526850116386138
"157","17","SFG","SPE",1.14245287601888
"159","17","midbrain","SPE",-0.674623088363339
"161","18","MFG","SPE",0.670091563440638
"164","18","OFC","SPE",-0.39063486272147
"167","18","SFG","SPE",-0.345386281842363
"169","18","midbrain","SPE",-0.736914783431326
"171","19","MFG","SPE",-3.20447839522603
"174","19","OFC","SPE",-0.593843252974368
"177","19","SFG","SPE",-2.11545972945169
"179","19","midbrain","SPE",0.073637783899903
"181","20","MFG","SPE",1.32976462600207
"184","20","OFC","SPE",-0.394295581312298
"187","20","SFG","SPE",0.515505419293832
"189","20","midbrain","SPE",0.425967650838635
"191","21","MFG","SPE",1.67890717525675
"194","21","OFC","SPE",-0.235085319998006
"197","21","SFG","SPE",0.211920295596226
"199","21","midbrain","SPE",0.252742114619297
"201","22","MFG","SPE",-2.82352208328819
"204","22","OFC","SPE",-1.54714881286244
"207","22","SFG","SPE",-3.40679705313717
"209","22","midbrain","SPE",0.344877363582525
"211","23","MFG","SPE",-0.943252394325806
"214","23","OFC","SPE",-1.38902433281378
"217","23","SFG","SPE",-0.59164219685934
"219","23","midbrain","SPE",-0.11897922912065
"221","24","MFG","SPE",2.11098978922824
"224","24","OFC","SPE",2.14444305826428
"227","24","SFG","SPE",2.75623140328874
"229","24","midbrain","SPE",0.776401964903754
"231","25","MFG","SPE",0.21286667085658
"234","25","OFC","SPE",1.06631395236763
"237","25","SFG","SPE",1.18383826830217
"239","25","midbrain","SPE",-0.879104706075261
"241","26","MFG","SPE",0.8960740358691
"244","26","OFC","SPE",1.58969900813713
"247","26","SFG","SPE",1.11239177557743
"249","26","midbrain","SPE",0.225028052685015
"251","27","MFG","SPE",-2.32242833990039
"254","27","OFC","SPE",-2.50844562068325
"257","27","SFG","SPE",-2.79426557850092
"259","27","midbrain","SPE",-1.42538636449505
"261","28","MFG","SPE",-1.15454517415151
"264","28","OFC","SPE",0.0921670611962979
"267","28","SFG","SPE",0.277826321000854
"269","28","midbrain","SPE",0.110180437778507
"271","29","MFG","SPE",-0.969940153878145
"274","29","OFC","SPE",-0.630172558955677
"277","29","SFG","SPE",-1.62510589199762
"279","29","midbrain","SPE",-0.495020530920695
"281","30","MFG","SPE",0.16844193542922
"284","30","OFC","SPE",-0.173045974708945
"287","30","SFG","SPE",-2.45071532290119
"289","30","midbrain","SPE",-0.16405806843848
