"","ID","roi","mean_diff"
"4","1","PCG",-0.599339333864361
"8","1","PCL",-0.266526108713982
"12","1","IFG",1.15651717918244
"16","1","IPS",0.414368384912358
"20","3","PCG",0.507183149456968
"24","3","PCL",-0.0311875438655012
"28","3","IFG",0.93080493896754
"32","3","IPS",0.0839503921442133
"36","4","PCG",0.00719240293479795
"40","4","PCL",0.242213868894468
"44","4","IFG",-0.216540214411024
"48","4","IPS",0.0934426784673231
"52","5","PCG",1.2223236148174
"56","5","PCL",-0.0672310465070466
"60","5","IFG",-1.1145837745671
"64","5","IPS",0.482682630782789
"68","6","PCG",0.0630505788498198
"72","6","PCL",0.0777952522186078
"76","6","IFG",0.271610431762329
"80","6","IPS",-0.499731371439678
"84","7","PCG",-0.253513099052586
"88","7","PCL",-0.114491288707863
"92","7","IFG",0.114339919611395
"96","7","IPS",0.0752891433441031
"100","8","PCG",1.07864665569594
"104","8","PCL",0.379992669510585
"108","8","IFG",1.36091915662609
"112","8","IPS",1.45953114288149
"116","9","PCG",0.330980816856027
"120","9","PCL",-0.202536489110528
"124","9","IFG",-0.627863137822932
"128","9","IPS",0.290528975553432
"132","10","PCG",0.41929270914541
"136","10","PCL",-0.293449453509039
"140","10","IFG",-1.17465815096816
"144","10","IPS",-0.351784938200518
"148","11","PCG",-0.432774103461549
"152","11","PCL",-0.444356328584107
"156","11","IFG",-0.793035814528177
"160","11","IPS",0.120528547961454
"164","12","PCG",1.22551845873778
"168","12","PCL",0.307462511070835
"172","12","IFG",1.03210385799853
"176","12","IPS",0.251534563978597
"180","13","PCG",0.9183076436703
"184","13","PCL",0.728876464714222
"188","13","IFG",0.542385812932209
"192","13","IPS",0.415089728247564
"196","14","PCG",-0.703513456795077
"200","14","PCL",0.260635996699389
"204","14","IFG",0.43884927855193
"208","14","IPS",1.46338763072203
"212","15","PCG",1.75689727641069
"216","15","PCL",0.48597548185943
"220","15","IFG",1.47127852823112
"224","15","IPS",0.585424034966756
"228","16","PCG",0.646340634960396
"232","16","PCL",0.623366520045269
"236","16","IFG",2.34532297241377
"240","16","IPS",0.808905660095861
"244","17","PCG",0.108037653450781
"248","17","PCL",0.310789640596884
"252","17","IFG",0.789627566989233
"256","17","IPS",0.090734170390671
"260","18","PCG",0.332903711841655
"264","18","PCL",-0.29252257751389
"268","18","IFG",-0.881532307047008
"272","18","IPS",-0.299218245355759
"276","19","PCG",-0.487856386086115
"280","19","PCL",-0.441770733920784
"284","19","IFG",-1.28042390942573
"288","19","IPS",-0.0756069749151755
"292","20","PCG",1.37811794705116
"296","20","PCL",0.287274232673217
"300","20","IFG",-0.262515538525003
"304","20","IPS",0.532153263767013
"308","21","PCG",-0.880924173845699
"312","21","PCL",0.0258798081039149
"316","21","IFG",-0.831314900055967
"320","21","IPS",-0.224932058793257
"324","22","PCG",-0.0280138176436038
"328","22","PCL",0.574802656100666
"332","22","IFG",0.321676896527102
"336","22","IPS",0.729824217667772
"340","23","PCG",0.463491176326687
"344","23","PCL",0.227931716442695
"348","23","IFG",-0.60896386161669
"352","23","IPS",-0.276890006831895
"356","24","PCG",0.329323918916859
"360","24","PCL",0.533956623548188
"364","24","IFG",0.39703302473219
"368","24","IPS",0.749678608598344
"372","25","PCG",0.831620482584604
"376","25","PCL",0.231971613674124
"380","25","IFG",-0.716858972475599
"384","25","IPS",-0.37431823610628
"388","26","PCG",0.099628020221224
"392","26","PCL",0.203940071655056
"396","26","IFG",0.22268656891451
"400","26","IPS",0.336559717683517
"404","27","PCG",0.252916999232884
"408","27","PCL",-0.174804160492421
"412","27","IFG",0.0623308935049831
"416","27","IPS",-0.397212016585646
"420","28","PCG",1.17091826514269
"424","28","PCL",0.575216670469271
"428","28","IFG",0.337135794475228
"432","28","IPS",0.258496581213707
"436","29","PCG",0.763606545443717
"440","29","PCL",0.317377897545945
"444","29","IFG",0.902577995253141
"448","29","IPS",0.396261438601098
"452","30","PCG",0.354485266161366
"456","30","PCL",0.07165939215292
"460","30","IFG",-0.441132957087968
"464","30","IPS",-0.292305671594153
