"","ID","ROI","accuracy"
"1",1,"IFG",0.508333333333333
"2",3,"IFG",0.5
"3",4,"IFG",0.458333333333333
"4",5,"IFG",0.433333333333333
"5",6,"IFG",0.475
"6",7,"IFG",0.483333333333333
"7",8,"IFG",0.483333333333333
"8",9,"IFG",0.525
"9",10,"IFG",0.5
"10",11,"IFG",0.575
"11",12,"IFG",0.525
"12",13,"IFG",0.458333333333333
"13",14,"IFG",0.508333333333333
"14",15,"IFG",0.508333333333333
"15",16,"IFG",0.516666666666667
"16",17,"IFG",0.383333333333333
"17",18,"IFG",0.575
"18",19,"IFG",0.533333333333333
"19",20,"IFG",0.45
"20",21,"IFG",0.533333333333333
"21",22,"IFG",0.533333333333333
"22",23,"IFG",0.6
"23",24,"IFG",0.441666666666667
"24",25,"IFG",0.583333333333333
"25",26,"IFG",0.55
"26",27,"IFG",0.608333333333333
"27",28,"IFG",0.633333333333333
"28",29,"IFG",0.458333333333333
"29",30,"IFG",0.466666666666667
"30",1,"IPS",0.558333333333333
"31",3,"IPS",0.616666666666667
"32",4,"IPS",0.55
"33",5,"IPS",0.5
"34",6,"IPS",0.483333333333333
"35",7,"IPS",0.508333333333333
"36",8,"IPS",0.45
"37",9,"IPS",0.6
"38",10,"IPS",0.483333333333333
"39",11,"IPS",0.491666666666667
"40",12,"IPS",0.516666666666667
"41",13,"IPS",0.458333333333333
"42",14,"IPS",0.558333333333333
"43",15,"IPS",0.525
"44",16,"IPS",0.525
"45",17,"IPS",0.525
"46",18,"IPS",0.533333333333333
"47",19,"IPS",0.533333333333333
"48",20,"IPS",0.55
"49",21,"IPS",0.55
"50",22,"IPS",0.5
"51",23,"IPS",0.533333333333333
"52",24,"IPS",0.55
"53",25,"IPS",0.541666666666667
"54",26,"IPS",0.5
"55",27,"IPS",0.541666666666667
"56",28,"IPS",0.525
"57",29,"IPS",0.575
"58",30,"IPS",0.483333333333333
"59",1,"PCG",0.558333333333333
"60",3,"PCG",0.483333333333333
"61",4,"PCG",0.525
"62",5,"PCG",0.525
"63",6,"PCG",0.583333333333333
"64",7,"PCG",0.616666666666667
"65",8,"PCG",0.466666666666667
"66",9,"PCG",0.575
"67",10,"PCG",0.408333333333333
"68",11,"PCG",0.541666666666667
"69",12,"PCG",0.458333333333333
"70",13,"PCG",0.508333333333333
"71",14,"PCG",0.6
"72",15,"PCG",0.583333333333333
"73",16,"PCG",0.533333333333333
"74",17,"PCG",0.533333333333333
"75",18,"PCG",0.5
"76",19,"PCG",0.5
"77",20,"PCG",0.433333333333333
"78",21,"PCG",0.608333333333333
"79",22,"PCG",0.583333333333333
"80",23,"PCG",0.533333333333333
"81",24,"PCG",0.416666666666667
"82",25,"PCG",0.583333333333333
"83",26,"PCG",0.483333333333333
"84",27,"PCG",0.508333333333333
"85",28,"PCG",0.608333333333333
"86",29,"PCG",0.516666666666667
"87",30,"PCG",0.466666666666667
"88",1,"PCL",0.516666666666667
"89",3,"PCL",0.558333333333333
"90",4,"PCL",0.391666666666667
"91",5,"PCL",0.533333333333333
"92",6,"PCL",0.45
"93",7,"PCL",0.616666666666667
"94",8,"PCL",0.525
"95",9,"PCL",0.55
"96",10,"PCL",0.516666666666667
"97",11,"PCL",0.541666666666667
"98",12,"PCL",0.441666666666667
"99",13,"PCL",0.541666666666667
"100",14,"PCL",0.55
"101",15,"PCL",0.466666666666667
"102",16,"PCL",0.566666666666667
"103",17,"PCL",0.55
"104",18,"PCL",0.625
"105",19,"PCL",0.575
"106",20,"PCL",0.575
"107",21,"PCL",0.458333333333333
"108",22,"PCL",0.508333333333333
"109",23,"PCL",0.483333333333333
"110",24,"PCL",0.566666666666667
"111",25,"PCL",0.5
"112",26,"PCL",0.408333333333333
"113",27,"PCL",0.558333333333333
"114",28,"PCL",0.491666666666667
"115",29,"PCL",0.516666666666667
"116",30,"PCL",0.533333333333333
