"","ID","parameter_name","parameter_value"
"1","15","eta",0.00155846
"2","11","eta",0.002119554
"3","26","eta",0.002553853
"4","20","eta",0.007210356
"5","24","eta",0.01140479
"6","7","eta",0.01699659
"7","5","eta",0.02159504
"8","8","eta",0.07500774
"9","6","eta",0.2049385
"10","18","eta",0.3211294
"11","19","eta",0.3252563
"12","10","eta",0.3688915
"13","3","eta",0.4243784
"14","16","eta",0.4639921
"15","27","eta",0.4643126
"16","1","eta",0.4994376
"17","9","eta",0.5137485
"18","29","eta",0.6591384
"19","25","eta",0.6988432
"20","17","eta",0.7346485
"21","22","eta",0.7357623
"22","4","eta",0.7514434
"23","12","eta",0.7970238
"24","21","eta",0.8647788
"25","13","eta",0.9009359
"26","30","eta",0.9167055
"27","23","eta",0.9453793
"28","14","eta",0.9570907
"29","28","eta",0.9597718
"30","15","alpha",0.2055082
"31","11","alpha",0.09364249
"32","26","alpha",0.1548012
"33","20","alpha",0.1107472
"34","24","alpha",0.02471573
"35","7","alpha",0.2706551
"36","5","alpha",0.03308229
"37","8","alpha",0.009542696
"38","6","alpha",0.2764636
"39","18","alpha",0.423671
"40","19","alpha",0.3256348
"41","10","alpha",0.8468721
"42","3","alpha",0.2484795
"43","16","alpha",0.1707705
"44","27","alpha",0.7254139
"45","1","alpha",0.4568007
"46","9","alpha",0.6359873
"47","29","alpha",0.02722732
"48","25","alpha",0.2872848
"49","17","alpha",0.5592956
"50","22","alpha",0.4268206
"51","4","alpha",0.7071492
"52","12","alpha",0.1695239
"53","21","alpha",0.2459301
"54","13","alpha",0.1213035
"55","30","alpha",0.01664961
"56","23","alpha",0.1107937
"57","14","alpha",0.1577243
"58","28","alpha",0.09124978
