"","run","ID","hunger"
"1","1","1",8
"2","2","1",7
"3","3","1",2
"4","1","3",9
"5","2","3",7
"6","3","3",6
"7","1","4",7
"8","2","4",7
"9","3","4",6
"10","1","5",7
"11","2","5",6
"12","3","5",5
"13","1","6",9
"14","2","6",10
"15","3","6",10
"16","1","7",7
"17","2","7",6
"18","3","7",5
"19","1","8",10
"20","2","8",8
"21","3","8",5
"22","1","9",7
"23","2","9",7
"24","3","9",5
"25","1","10",7
"26","2","10",7
"27","3","10",6
"28","1","11",7
"29","2","11",4
"30","3","11",3
"31","1","12",7
"32","2","12",7
"33","3","12",5
"34","1","13",8
"35","2","13",7
"36","1","14",4
"37","2","14",6
"38","3","14",5
"39","1","15",5
"40","2","15",2
"41","3","15",2
"42","1","16",8
"43","2","16",5
"44","3","16",4
"45","1","17",7
"46","2","17",5
"47","3","17",4
"48","1","18",7
"49","2","18",4
"50","3","18",1
"51","1","19",9
"52","2","19",9
"53","3","19",3
"54","1","20",6
"55","2","20",8
"56","3","20",6
"57","1","21",8
"58","2","21",8
"59","3","21",8
"60","1","22",7
"61","2","22",9
"62","3","22",6
"63","1","23",6
"64","2","23",7
"65","3","23",3
"66","1","24",8
"67","2","24",8
"68","3","24",5
"69","1","25",7
"70","2","25",6
"71","3","25",5
"72","1","26",8
"73","2","26",6
"74","3","26",5
"75","1","27",9
"76","2","27",7
"77","3","27",4
"78","1","28",8
"79","2","28",9
"80","3","28",6
"81","1","29",8
"82","2","29",9
"83","3","29",9
"84","1","30",9
"85","2","30",9
"86","3","30",3
