"","ID","CS_ID","pupil_change"
"1","1","Devalued",-0.129438409363158
"2","1","Valued",0.274325620613158
"5","3","Devalued",-0.238605932943017
"6","3","Valued",-0.108882569862539
"9","4","Devalued",0.0460464172
"10","4","Valued",0.0445129148
"13","5","Devalued",-0.12491547955
"14","5","Valued",0.0396069499
"17","6","Devalued",-0.309077765
"18","6","Valued",0.17085094595
"21","7","Devalued",-0.1020945017
"22","7","Valued",-0.0233743708
"25","8","Devalued",-0.3634576557
"26","8","Valued",0.2912548005
"29","9","Devalued",-0.0061171250882353
"30","9","Valued",0.0458133664539474
"33","10","Devalued",-0.1887399049
"34","10","Valued",-0.44158567455
"37","11","Devalued",-0.0321026397
"38","11","Valued",-0.019729039
"41","12","Devalued",-0.27194463
"42","12","Valued",-0.020689484
"45","13","Devalued",0.00162137839473683
"46","13","Valued",-0.14402692433307
"49","14","Devalued",-0.1192647051
"50","14","Valued",-0.00222141820000002
"53","15","Devalued",-0.35392026308
"54","15","Valued",0.14880519795
"57","16","Devalued",-0.02902086595
"58","16","Valued",0.0607300231342106
"61","17","Devalued",-0.1903949265
"62","17","Valued",0.1396451955
"65","18","Devalued",0.00561910605
"66","18","Valued",-0.14020285645
"69","19","Devalued",-0.475568171255
"70","19","Valued",0.073111471255
"73","20","Devalued",-0.055874555115
"74","20","Valued",-0.008485514485
"77","21","Devalued",-0.235107852
"78","21","Valued",0.25963923075
"81","22","Devalued",-0.242477714711111
"82","22","Valued",0.186418871190059
"85","23","Devalued",-0.08793146655
"86","23","Valued",0.040240777895
"89","24","Devalued",-0.1497295645
"90","24","Valued",-0.0170074715
"93","25","Devalued",-0.108070765035
"94","25","Valued",-0.061919426815
"97","26","Devalued",-0.14522955335
"98","26","Valued",-0.06429328217
"101","27","Devalued",-0.0466192090668731
"102","27","Valued",-0.0555575849184211
"105","28","Devalued",-0.06031954755
"106","28","Valued",0.03276796855
"109","29","Devalued",-0.0804690242201797
"110","29","Valued",0.0601792327965686
"113","30","Devalued",-0.08959033255
"114","30","Valued",-0.22459981715
