"","ID","CS_ID","dw_change"
"1","1","Devalued",0.287049304628947
"2","1","Valued",0.265230867889474
"5","3","Devalued",0.248417491239766
"6","3","Valued",0.304431480421053
"9","4","Devalued",0.0520008667
"10","4","Valued",0.0475205462631579
"13","5","Devalued",-0.282691339666667
"14","5","Valued",0.275147496447368
"17","6","Devalued",-0.0093328715
"18","6","Valued",-0.0020814795
"21","7","Devalued",0.00765649800000001
"22","7","Valued",-0.00781523036842113
"25","8","Devalued",0.0855873545
"26","8","Valued",0.2167618075
"29","9","Devalued",0.113846747994737
"30","9","Valued",0.1421922364
"33","10","Devalued",-0.0137260701
"34","10","Valued",-0.0583688954
"37","11","Devalued",-0.0593146294
"38","11","Valued",-0.0525117856
"41","12","Devalued",0.039719779
"42","12","Valued",0.3049370625
"45","13","Devalued",-0.00380239722222222
"46","13","Valued",-0.00550766277777778
"49","14","Devalued",0.0540549223157895
"50","14","Valued",-0.014905046
"53","15","Devalued",0.0431627207894736
"54","15","Valued",-0.05138211
"57","16","Devalued",-0.072628125
"58","16","Valued",0.0150340025
"61","17","Devalued",0.051428019
"62","17","Valued",0.102528926
"65","18","Devalued",-0.188672220736842
"66","18","Valued",-0.065039767131579
"69","19","Devalued",-0.204012597
"70","19","Valued",-0.27324658
"73","20","Devalued",-0.10093830915
"74","20","Valued",0.0208122441
"77","21","Devalued",0.1596768844
"78","21","Valued",-0.0405114
"81","22","Devalued",0.008203125
"82","22","Valued",0.015
"85","23","Devalued",-0.0831976051052632
"86","23","Valued",-0.130206124482972
"89","24","Devalued",0.00703630526315789
"90","24","Valued",0
"93","25","Devalued",-0.3418997881
"94","25","Valued",0.06269113
"97","26","Devalued",-0.1449323275
"98","26","Valued",-0.2361246925
"101","27","Devalued",0.000787342736842106
"102","27","Valued",0.014487486
"105","28","Devalued",-0.1116885485
"106","28","Valued",0.141725091
"109","29","Devalued",0.020677767
"110","29","Valued",-0.00647748015789474
"113","30","Devalued",-0.0278675797105263
"114","30","Valued",0.128117801552632
