"","ID","roi","value","betas"
"1","1","vmPFC","valued",-1.51630056926182
"2","1","vmPFC","devalued",-3.06681487432548
"3","1","VS","valued",0.336014202651633
"4","1","VS","devalued",-0.452475267869066
"5","1","midbrain","valued",0.323980698015633
"6","1","midbrain","devalued",0.137678414690963
"7","3","vmPFC","valued",-2.6882888755628
"8","3","vmPFC","devalued",-2.28814352356962
"9","3","VS","valued",-0.273331508906165
"10","3","VS","devalued",-0.448633929032465
"11","3","midbrain","valued",-1.00138188482547
"12","3","midbrain","devalued",-1.60079859791339
"13","4","vmPFC","valued",0.014528838917613
"14","4","vmPFC","devalued",-1.15027518432055
"15","4","VS","valued",0.25947418568892
"16","4","VS","devalued",-0.412020561193496
"17","4","midbrain","valued",0.558312626863437
"18","4","midbrain","devalued",-0.616394758901813
"19","5","vmPFC","valued",-0.855510945564934
"20","5","vmPFC","devalued",-1.49738771958011
"21","5","VS","valued",0.162144083162429
"22","5","VS","devalued",-0.974118875995488
"23","5","midbrain","valued",0.294833039903382
"24","5","midbrain","devalued",0.446839590687767
"25","6","vmPFC","valued",-0.911097339753594
"26","6","vmPFC","devalued",-0.428517434533153
"27","6","VS","valued",-0.0176277731112401
"28","6","VS","devalued",0.0774944524844767
"29","6","midbrain","valued",-0.0764155656653495
"30","6","midbrain","devalued",0.330464312067825
"31","7","vmPFC","valued",-7.1123605804784
"32","7","vmPFC","devalued",-6.22120732963085
"33","7","VS","valued",-0.0958452720299993
"34","7","VS","devalued",1.08086016532821
"35","7","midbrain","valued",-0.408628823104784
"36","7","midbrain","devalued",-0.337967482972736
"37","8","vmPFC","valued",-0.0265582861910973
"38","8","vmPFC","devalued",-2.62741914966277
"39","8","VS","valued",-0.85316058458157
"40","8","VS","devalued",-1.66766694219599
"41","8","midbrain","valued",-0.0875569029195496
"42","8","midbrain","devalued",-1.16612310579801
"43","9","vmPFC","valued",-1.15796841095601
"44","9","vmPFC","devalued",0.118083471645202
"45","9","VS","valued",-0.440619791923484
"46","9","VS","devalued",0.26371835843778
"47","9","midbrain","valued",-0.381244549408463
"48","9","midbrain","devalued",0.712344950511436
"49","10","vmPFC","valued",-0.742419495220695
"50","10","vmPFC","devalued",0.00629518053361348
"51","10","VS","valued",-0.0131049135463758
"52","10","VS","devalued",-0.4959072273382
"53","10","midbrain","valued",-0.390563465639456
"54","10","midbrain","devalued",-0.780229104059356
"55","11","vmPFC","valued",-1.78956969848701
"56","11","vmPFC","devalued",-1.15795387689556
"57","11","VS","valued",0.298032319986484
"58","11","VS","devalued",-0.0890389010310173
"59","11","midbrain","valued",0.144763810206051
"60","11","midbrain","devalued",0.120161618575577
"61","12","vmPFC","valued",0.482014784097139
"62","12","vmPFC","devalued",0.285623191403491
"63","12","VS","valued",1.05621921323555
"64","12","VS","devalued",0.270476524836161
"65","12","midbrain","valued",0.715237682731437
"66","12","midbrain","devalued",0.809608807664149
"67","13","vmPFC","valued",-0.175645620269435
"68","13","vmPFC","devalued",-1.59836415983737
"69","13","VS","valued",0.321346836190828
"70","13","VS","devalued",-0.835323910661776
"71","13","midbrain","valued",-0.0136424171669055
"72","13","midbrain","devalued",-0.497057380770479
"73","14","vmPFC","valued",0.0754491324935641
"74","14","vmPFC","devalued",-0.220475048571825
"75","14","VS","valued",0.0600406564772129
"76","14","VS","devalued",-0.552653213385755
"77","14","midbrain","valued",0.249407487013185
"78","14","midbrain","devalued",0.105596271435892
"79","15","vmPFC","valued",1.74738462514111
"80","15","vmPFC","devalued",0.57165434807539
"81","15","VS","valued",1.19611367205499
"82","15","VS","devalued",0.515379725181511
"83","15","midbrain","valued",0.921252685206488
"84","15","midbrain","devalued",0.568952169269323
"85","16","vmPFC","valued",0.0737700386771134
"86","16","vmPFC","devalued",-3.71016132831573
"87","16","VS","valued",0.541806504445177
"88","16","VS","devalued",-0.0274990115472129
"89","16","midbrain","valued",0.116635874929753
"90","16","midbrain","devalued",-0.875098332247027
"91","17","vmPFC","valued",-2.00956619935376
"92","17","vmPFC","devalued",-2.53106485126274
"93","17","VS","valued",-0.0781719732609853
"94","17","VS","devalued",0.862850028654219
"95","17","midbrain","valued",-0.105601008073234
"96","17","midbrain","devalued",0.600048918761929
"97","18","vmPFC","valued",-0.962824590956526
"98","18","vmPFC","devalued",-1.49839737543038
"99","18","VS","valued",-0.764853750526066
"100","18","VS","devalued",-0.456600972018401
"101","18","midbrain","valued",-0.304594165868749
"102","18","midbrain","devalued",0.0737620577108392
"103","19","vmPFC","valued",0.682060300026621
"104","19","vmPFC","devalued",-0.375079956224986
"105","19","VS","valued",0.349207715039522
"106","19","VS","devalued",-1.02964913834568
"107","19","midbrain","valued",0.236861932453168
"108","19","midbrain","devalued",0.107939517371788
"109","20","vmPFC","valued",-0.265689590094345
"110","20","vmPFC","devalued",0.159303202373641
"111","20","VS","valued",-0.243733197555576
"112","20","VS","devalued",-0.376560698197761
"113","20","midbrain","valued",0.323964454110496
"114","20","midbrain","devalued",-0.263160173912063
"115","21","vmPFC","valued",1.29967535606452
"116","21","vmPFC","devalued",-1.07945448351758
"117","21","VS","valued",0.688270742781985
"118","21","VS","devalued",-0.509811754482733
"119","21","midbrain","valued",0.44464500026762
"120","21","midbrain","devalued",0.280655892550453
"121","22","vmPFC","valued",-2.23355979536261
"122","22","vmPFC","devalued",1.11955888494849
"123","22","VS","valued",0.00633254399339498
"124","22","VS","devalued",-0.26301178258096
"125","22","midbrain","valued",0.342877923149215
"126","22","midbrain","devalued",-0.116375322642251
"127","23","vmPFC","valued",0.434222391886371
"128","23","vmPFC","devalued",-0.916183229163289
"129","23","VS","valued",0.299041334801996
"130","23","VS","devalued",0.353803504697821
"131","23","midbrain","valued",1.28669069167073
"132","23","midbrain","devalued",1.54251769455996
"133","24","vmPFC","valued",-1.79210820794106
"134","24","vmPFC","devalued",-2.79158678704074
"135","24","VS","valued",-0.700151717368986
"136","24","VS","devalued",-0.572252814257911
"137","24","midbrain","valued",0.00106339001920351
"138","24","midbrain","devalued",-0.695913228244821
"139","25","vmPFC","valued",0.407085163678442
"140","25","vmPFC","devalued",1.19075436006699
"141","25","VS","valued",0.306116837824524
"142","25","VS","devalued",0.530679928138852
"143","25","midbrain","valued",-0.0841513965124926
"144","25","midbrain","devalued",0.494281621395864
"145","26","vmPFC","valued",1.41567099392414
"146","26","vmPFC","devalued",0.767559827651296
"147","26","VS","valued",-0.193776105438739
"148","26","VS","devalued",-0.00474939619938672
"149","26","midbrain","valued",-0.0279570876674588
"150","26","midbrain","devalued",-0.251825188856172
"151","27","vmPFC","valued",0.0601727132286344
"152","27","vmPFC","devalued",0.339854678245527
"153","27","VS","valued",0.0529641360569168
"154","27","VS","devalued",-0.499489585514849
"155","27","midbrain","valued",-0.281543485258421
"156","27","midbrain","devalued",0.974544591000996
"157","28","vmPFC","valued",-0.686247296631336
"158","28","vmPFC","devalued",-2.85146703805242
"159","28","VS","valued",-0.490277805313153
"160","28","VS","devalued",-0.790258627857121
"161","28","midbrain","valued",0.0758324751884423
"162","28","midbrain","devalued",0.153978305029844
"163","29","vmPFC","valued",0.279325943546636
"164","29","vmPFC","devalued",-0.591507924028805
"165","29","VS","valued",-0.14169792274774
"166","29","VS","devalued",-0.511244246132777
"167","29","midbrain","valued",-0.331070571385463
"168","29","midbrain","devalued",0.169890594938077
"169","30","vmPFC","valued",-2.45865042826959
"170","30","vmPFC","devalued",0.551788261532783
"171","30","VS","valued",0.258471148193512
"172","30","VS","devalued",0.252368171659993
"173","30","midbrain","valued",1.80344134375207
"174","30","midbrain","devalued",1.74163822016933
